,DATE,ENTRIES,EXITS
0,03/27/2021,1091696.0,1231722.0
1,03/28/2021,657091.0,762591.0
2,03/29/2021,1505732.0,1558886.0
3,03/30/2021,1619090.0,1673000.0
4,03/31/2021,1559129.0,1610415.0
5,04/01/2021,1568292.0,1627309.0
6,04/02/2021,1458512.0,1546613.0
7,03/20/2021,1034582.0,1171948.0
8,03/21/2021,808067.0,938111.0
9,03/22/2021,1565162.0,1597815.0
10,03/23/2021,1627785.0,1657464.0
11,03/24/2021,1595319.0,1621209.0
12,03/25/2021,1652188.0,1677270.0
13,03/26/2021,1621980.0,1680654.0
14,03/13/2021,1051394.0,1193995.0
15,03/14/2021,745455.0,856769.0
16,03/15/2021,1511448.0,1544240.0
17,03/16/2021,1567680.0,1596184.0
18,03/17/2021,1605308.0,1638668.0
19,03/18/2021,1527404.0,1559708.0
20,03/19/2021,1604913.0,1657991.0
21,03/06/2021,981644.0,1112510.0
22,03/07/2021,759833.0,874484.0
23,03/08/2021,1554602.0,1587764.0
24,03/09/2021,1641103.0,1682056.0
25,03/10/2021,1646190.0,1693048.0
26,03/11/2021,1671793.0,1729063.0
27,03/12/2021,1670756.0,1751630.0
28,02/27/2021,912882.0,1025082.0
29,02/28/2021,700137.0,800562.0
30,03/01/2021,1542335.0,1569411.0
31,03/02/2021,1581519.0,1607343.0
32,03/03/2021,1655908.0,1691380.0
33,03/04/2021,1620146.0,1656196.0
34,03/05/2021,1605370.0,1664702.0
